16:06:38.655164 config: drop-rate=0.00, max-delay=0s, seed=1479243998655052432
17:21:09.216703 [queue=1] packet #7, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delayed for 8.1ms
17:21:09.225694 [queue=0] packet #7, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delivered
17:21:09.259428 [queue=1] packet #8, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delayed for 9.5ms
17:21:09.269127 [queue=0] packet #8, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delivered
17:21:09.338061 [queue=1] packet #9, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delayed for 9.3ms
17:21:09.348338 [queue=0] packet #9, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delivered
17:24:22.440581 config: drop-rate=0.00, max-delay=10ms, seed=1
17:24:22.440792 router is listening at :3000
17:25:02.477986 [queue=1] packet #0, 127.0.0.1:57916 -> 127.0.0.1:5666, sz=0 is delayed for 8.7ms
17:25:02.489177 [queue=0] packet #0, 127.0.0.1:57916 -> 127.0.0.1:5666, sz=0 is delivered
